ID,Saxon,German,Webpage,Date,Source,Origin,Year,Tags,length
10,"Gahr für Gahr gieht's zun Advent of'n Buden nauf, werd e Mannel aufgeweckt: ""Komm, nu stehste auf!"" Is es unten in dr Stub, rührt sich's net vom Flack, stieht wu's stieht, doch bal gieht's lus,'s blest de Schwoden wag. Wenn es Raachermannel nabelt un es sat kaa Wort drzu, un dr Raach steigt an dr Deck nauf, sei mr allezamm su fruh. Un schie ruhig is in Stübel, steigt dr Himmelsfrieden ro, doch im Harzen lacht's un jubelt's; Ja, de Weihnachtszeit is do. 's hot zwaa stackendürre Baa un en huhlen Leib, zieht bedachtig an dr Pfeif zu sen Zeitvertreib. Hot e fei schies Gackel a, of'n Kup en Hut, ober Maul un Nos sei schwarz, weil's viel dampen tut. Wenn es Raachermannel ... Kimmt zun Fast dr gruße Gung aus dr Fremd eham, springt dr Klaane rim vür Frad, ach, dos is e Lab'n! Bricht drnoch de Dammring rei, nam mr'n Raachermah, stelln ne mitten of'n Tiesch, zündn e Kerzel a. Wenn es Raachermannel ... Is dr Heilige Ohmd nu ra, werd jed's zu en Kind. Wieder warn in jeden Haus Lichter agezündt. Jed's hofft, daß 's zun Heiling Christ e a Packel kriegt. Überol is Glanz un Pracht, un wie gut dos riecht. Wenn es Raachermannel ...",,https://www.sachsen-lese.de/streifzuege/mundartliches/s-raachermannel/,2026-05-29,'s Raachermannel - Erich Lang,Erzgebirge,1937,poetry,1131
11,"A Schalle Kaffee. A Schalle Kaffee is wos guts, es Beste of der Walt. Es schmeckt in Wald un in dr Stub, an draußen ofn Fald. Bei uns, do werd‘r su gekocht, döß niemanden hiehaat, bei kenn mol Assen fahlt`r do, su is gar weit un braat. Mei gute Mutter saht mei Tog: „Ihr Kinner, merkt mol drauf! Trink ich nimmer ne Kaffee garn, härt‘s langsam mit mir auf.“ Öb vürmittog, öb nochmittog, öb tief nei in de Nacht, a Schalle Kaffee, racht schie warm, hot mannichs gut gemacht. A Schalle Kaffee fahlt aa net, wenn‘s Klaane noch ganz gung. Wenn‘s Störchel macht sich wieder fort, gibt‘s Kaffee drauf un Kuchn. Su gieht‘s durchs ganze Menschenlabn; bei jeder tafel fei, wu irgend is a Festlichkat, muss aa mol Kaffee sei. Bei Zaafeten un Rockengang, di is mr schie gespannt, wos warn se dä fürn Kaffee hobn, dös is doch allbekannt. Do werd nu tüchtig neigeschafft, denn fette Tog sei rar. Dos hielt mr doch, wenn Pfeng do wärn, glleich aus is ganze Gahr. Bei Hochzign un wer waß noch wu gibt‘s Assen vielerlaa. Is do a Wunner, wenn‘s racht würgt en rüm in Ingewaa? A Schalle haaßer Kaffee brengt en wieder ins Geschick. Wan dös net hilft, du lieber Gott, dar hot abn kaa Gelück. A Schalle Kaffee is wos gut‘s, galle, ho ich do net racht? Un wenn‘s schu mol is aufgewärmt, is immer noch net schlacht. Drüm sog ich, wos mei Mutter saht: „Ihr Kinner, merkt mol drauf: Trink ich nimmer ne Kaffee garn, härt‘s langsam mit mir auf.“",,https://www.sachsen-lese.de/streifzuege/mundartliches/a-schalle-kaffee/,2026-05-29,Albert Schädlich,westliches Erzgebirge,,poetry,1420
12,"Ä philospphisches Gemiedhe. Bomadige Sorde. 'S gibbt Sie heitzedage Leitchen, Sehr gebild't un herzensgut, Awwer jedes Kleiniggeitchen Bringkt se schon in helle Wuth. Wohl bassirt uns Erdenbärgern Manches, was de uns nich freit: Awwer nee - mich driwwer ärgern? Dazu dauert mich de Zeit! Noch ä philosophisches Gemiedhe Rapplige Sorde. Da gibbt's so manchen Erdenbärger, Der spricht: Nur geenen Ärger nich; Denn so ä richt'ger, dicht'ger Ärger Vergifdet 's Blut wie« Naddernstich! Ich awwer bin von andrer Rasse, Mir stärkt er Nerfen un Verstand; So 'n richt'gen Ärger erschder Klasse, Den weis' ich niemals von der Hand.",,https://www.sachsen-lese.de/streifzuege/mundartliches/ae-philospphisches-gemiedhe/,2026-05-29,"Bormann, Edwin: Leipz'ger Lerchen",Obersächsisch,1893,poetry,621
13,"Ä Fillosohf. Was das nu eechndlich bloß war, Wonach mr in dr Juhchnd flidzde? Mr wurde sälwr sich nich glar, Was eechal ausdr Färne blidzde. Schdäds indn Wolkn war dr Bligg, Uff ännr Gullr rollde ‘s Gligg. Un war mr schließlich nachgesausd, Dann hield mr gar nischd in dr Fausd. ‘s war alles ähmd bloß Fandasie, Das was mr suchde, fand mr nie. Allmählich ließ mr‘s Schebbsränn sin Un gam so in de Jahre rin, Wo mr Disdangs grichd zu dn Sachn. Dann lärnd mr so ä innräs Lachn, Das gribbld, wie ä aldr Wein, In gansn Orgahnismus nein. Mr guggd mid abgeglärdn Oochn Uff die verriggdn Mänschheedswoogn Un freid sich bloß noch geenichlich Gans eenfach iewersch Dink an sich.",,https://www.sachsen-lese.de/streifzuege/mundartliches/ae-fillosohf/,2026-05-29,Der gemütlich Sachse - Lene Voigt,Leipzig,1925,poetry,669
14,"Was issen? Saachemal, was issn das da fier ä märggwirdchr Voochl? Wo denn? Nu da! Wo dennur? Ich gann gee Voochl sähn! Nu da driehm, glei nähmdn Baum! Ich säh nischt. Wie siehtrn aus? Schwarz. Emmende midde gelm Schnawl? Ja. Siehtern aus wie 'ne Amsl? Ja. Ja - ja - dann isses ooch eene!",,https://www.sachsen-lese.de/streifzuege/mundartliches/am-ostermorgen-erschoepfende-auskunft/,2026-05-29,Säk‘sches Gemiese. Eiene Sammlung der lustigen Dichtungen in sächsischer Mundart - Otto Grune,,1936,poetry,287
15,"An ä Gachelofen. An de Gacheln lähnt mer gärne Dann sei Greize fimf Minuden Un fiehlt nuff bis ins Gehärne Änne heeße Wälle fluten. Nunterwärts in beede Fieße Fließt de Wälle sanft zurick. Sälich wie im Baradiese Schteht mer da un feixt vor Glick. »Du mei Eefchen«, meent mer leise Un is wärklich dief geriehrt, Weil mer ähmd uff solche Weise De Verbundenheet ärscht schbiert.",,https://www.sachsen-lese.de/streifzuege/mundartliches/an-ae-gachelofen/,2026-05-29,Lene Voigt,Leipzig,,poetry,376
16,"An dn Mai. Nu mache‘s diesmal wirklich wahr Un bis ä Wonnemond! Mir Menschen sin‘s, das is doch glar, Von frieher so gewohnt. Was nitzt die scheener Name denn, Wenn‘s Wetter Mucken hat? Bloß egal untern Schärme renn, Das hammer langsam satt. Voll Hoffnung guck mer uff dich hin, Das musste fermlich schbiern. Los, leech uns sonnche Daache hin! Mir zabbeln uffs Schbaziern.",,https://www.sachsen-lese.de/streifzuege/mundartliches/an-dn-mai/,2026-06-02,Lene Voigt,Leipzig,,poetry,372
17,"April is, draußen scheint de Sonn doch när e paar Aagnblick do komme schu wieder de Wolke reingezugn on schiebn de Sonn zerück. Der Storm saust über de Wiesen hi, of Berg on Wälder zu; heilt wie e Kind, reßt aus geschwind on wieder is draußen Ruh. Of aamol regnt 's ven Himmel wie mit Ranne, wos när ka, do zwängt de Sonn sich wieder dorch, on's gieht ven neie a. Ja 's liebe Laabn is aah e su, ball Regn, ball Sonneschei, eh manning der Mai in Herz neikömmt, is 's liebe Laabn vorbei!",,https://www.sachsen-lese.de/streifzuege/mundartliches/april/,2026-06-02,Gezeiten des Jahres - Anton Günther,Erzgebirge,<1937,poetry,485
18,"Sinst hoot‘s din dr Schulstu när e aanzige Wandtoafel gebn. Ober itze, do sei de ganzen Wänd rundsrim drmiet ausgestaffiert, aß dr Lehrer ne klann Abc-Schützen alles megliche oamoln koa. He, dorte aah emoll. Aß siech nu dr Lehrer mit dr Kreide net esue sei Hobitel eisauliert, eh‘r oa ze molern fängt, langt‘r ven Nogel sann weißen Kittel roh un zeiht ne über sei Hobitel drüber. Do spannt sue e klaaner, gescheiter Borbis, stießt noocher sann Banknachber oa un sogt: „He, pass auf Ottel, itze kriegn mer de Hoar geschnieten!“ Wie de Klann nei dr Schul kumme sei, haben se noch kaa Sitzflaasch gehatten, und aah ihre Plappermailer wotten kaa Minut stillstiehe bleibn. Sue hoot halt die klaane Bande enn reichling Töbes gemacht. Do maanet dr Schulmaaster, wie se wieder emoll arg geautert haben, se müsseten esue ruhig din dr Bank sitzen, aß mer urdntlich e Stecknodel falln härn könnt. ‘r wott doch gleich emoll sehe, ob se wuehl esue ruhig sei könnten. Mit an Schlog war dr Larm verbei, und kaans hoot noch enn Muckser getoa. Ganz stiller is geween. Do bischpert of aamoll sue e klaaner Borbis hinten aus dr letzten Bank ne Lehrer zu: „Herr Lehrer – itze kast de die Stecknodel falln loon!“",,https://www.sachsen-lese.de/streifzuege/mundartliches/aus-dr-schul/,2026-06-02,Willy Rudert,Ostvogtland,<1949,poetry,1191
19,"Der Redner Kranz liehschd schwer danieder, Gebrochen von des Alders Machd, Sei Freind, der Musigger Garl Kunze, Sidzd an dem Grangkenbedd unn wachd. Uff eemal sahchd der Grangke leise: ""Du, Garle, mach' ne Freide mir, Unn schbiele mir zum ledzden Male Beedhovens 'Neinde' am Glavier! Das Nodenhefd liehchd dord im Bulde, Das alde, Garl, du gennsd es doch, Nimm's raus unn schbiele mir vorm Schderben den dridden Sadz der 'Neinden' noch!"" ""Nu gern!"" sahchd Garl, gehd hin zum Bulde, Unn hohld das gelbliche Babier: ""Ich weeß' nich, Franz ob's noch wärd gehen, Ich hab' die Brille nich bei mir!"" Er sedzd sich hin, fängd an ze schbielen, Die schwachen Oogen dichd am Bladd; Der Franz heerd zu in sel'ger Ahndachd, Den alden Gobb im Gissen madd. Nach eener Weile schbrichd er flisdernd: ""Ich weeß nich, Garle, liehchd's an mir? Das glingd mir alles heid so fremde, Was schbielsd'n du uff'm Glavier?"" Der Garl heerd uff, guggd in die Noden: ""Ne wahr? Ich hawe's ooch gefiehld, Im Hefd sinn so viel Fliegendregger, Die haw' ich, gloob' ich, midgeschbield!""",,https://www.sachsen-lese.de/streifzuege/mundartliches/beedhoven/,2026-06-02,Säk‘sches Gemiese. Eiene Sammlung der lustigen Dichtungen in sächsischer Mundart.,Leipzig,<1936,poetry,1051
